relativeIndex	absoluteIndex	description	TP	FP	TN	FN	Acc	MCC	F1	Recall	Precision	Count
27	160	[$([CX3;!R][#6]),$([CX3H;!R])](=[SX1])[#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])] (Thioamide)	48.0	18.0	145287.0	62.0	0.9994498504280851	0.563097857437903	0.5454545454545455	0.43636363636363634	0.7272727272727273	110.0
28	164	[CX3;$([H0][#6]),$([H1])](=[OX1])[#7X3;$([H1]),$([H0][#6;!$(C=[O,N,S])])][$([OX2H]),$([OX1-])] (Hydroxamic_acid)	168.0	31.0	144992.0	224.0	0.9982463982395213	0.6008059842848982	0.5685279187817258	0.42857142857142855	0.8442211055276382	392.0
29	174	[#7X3v3;!$(N([#6X3]=[#7X2])C=[O,S])][CX3R0;$([H1]),$([H0][#6])]=[NX2v3;!$(N(=[#6X3][#7X3])C=[O,S])] (Amidine)	49.0	17.0	145176.0	173.0	0.9986933947667022	0.40437472195051183	0.3402777777777778	0.22072072072072071	0.7424242424242424	222.0
30	175	[#6][#6X3R;$([H0](=[NX2;!$(N(=[#6X3][#7X3])C=[O,S])])[#7X3;!$(N([#6X3]=[#7X2])C=[O,S])]),$([H0](-[NX3;!$(N([#6X3]=[#7X2])C=[O,S])])=,:[#7X2;!$(N(=[#6X3][#7X3])C=[O,S])])]   (Imidolactam)	2983.0	1089.0	140003.0	1340.0	0.9832960836227349	0.7024017682043121	0.7106611078022632	0.6900300717094611	0.7325638506876228	4323.0
31	181	[NX3;$([N][CX3](=[OX1])[C][NX3,NX4+])][C][CX3](=[OX1])[NX3;$([N][C][CX3](=[OX1])[NX3,OX2,OX1-])] (Peptide_middle)	4738.0	300.0	139755.0	622.0	0.9936595261836811	0.9085132036254859	0.9113291017503365	0.883955223880597	0.9404525605398968	5360.0
32	184	[#6][OX2][CX4;$(C[#6]),$([CH])]([OX2][#6])[OX2][#6]  (Carboxylic_orthoester)	35.0	16.0	145319.0	45.0	0.9995805109514149	0.5477537256447701	0.5343511450381679	0.4375	0.6862745098039216	80.0
33	189	[#6X3](=[OX1])[#6X3]=,:[#6X3][#7,#8,#16,F,Cl,Br,I] (Vinylogous_carbonyl_or_carboxyl_derivative)	24858.0	6208.0	107332.0	7017.0	0.909053398892824	0.7319606556895681	0.7898825884558555	0.7798588235294117	0.8001673855662139	31875.0
34	190	[#6X3](=[OX1])[#6X3]=,:[#6X3][$([OX2H]),$([OX1-])] (Vinylogous_acid)	8000.0	2711.0	131928.0	2776.0	0.9622666162362893	0.7242685632012551	0.7446362917112674	0.7423904974016332	0.746895714685837	10776.0
35	192	[#6X3](=[OX1])[#6X3]=,:[#6X3][#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])] (Vinylogous_amide)	5993.0	1867.0	134315.0	3240.0	0.9648798267028849	0.6851916698172134	0.7012227227520037	0.6490848045055778	0.7624681933842239	9233.0
36	193	[#6X3](=[OX1])[#6X3]=,:[#6X3][FX1,ClX1,BrX1,IX1] (Vinylogous_halide)	701.0	512.0	143466.0	736.0	0.9914176666781281	0.5266767734831349	0.5290566037735849	0.48782185107863607	0.5779060181368508	1437.0
37	197	[!#6][#6X3](=[!#6])[!#6] (Carbonic_acid_derivatives)	9280.0	1639.0	131510.0	2986.0	0.9681944778736719	0.7848652645990298	0.8005175760189778	0.7565628566769933	0.8498946789999084	12266.0
38	202	[#7X3;!$([#7][!#6])][#6X3](=[SX1])[#7X3;!$([#7][!#6])] (Thiourea)	505.0	129.0	144537.0	244.0	0.997434927620947	0.7315744553458163	0.730296456977585	0.6742323097463284	0.7965299684542587	749.0
39	204	[#7X2;!$([#7][!#6])]=,:[#6X3]([#16X2&!$([#16][!#6]),SX1-])[#7X3;!$([#7][!#6])] (Isothiourea)	1733.0	457.0	142784.0	441.0	0.9938245710552557	0.7910962518114832	0.7942254812098991	0.797148114075437	0.791324200913242	2174.0
40	231	[c]=[OX1] (Oxoarene)	15649.0	3122.0	122799.0	3845.0	0.9520888491558642	0.7905410843786531	0.8179276100875473	0.8027598235354468	0.8336796121677055	19494.0
41	232	[c]=[SX1] (Thioarene)	353.0	144.0	144720.0	198.0	0.997648110580064	0.6733880557922005	0.6736641221374046	0.6406533575317604	0.710261569416499	551.0
42	238	[a;!c] (Heteroaromatic)	44781.0	4449.0	91259.0	4926.0	0.9355293470412268	0.8564119623438989	0.9052427302222625	0.9008992697205624	0.9096282754418038	49707.0
43	252	[NX3;$([H2]),$([H1][#6]),$([H0]([#6])[#6]);!$(NC=[O,N,S])][NX2]=[#6] (Hydrazone)	13.0	14.0	145277.0	111.0	0.999140391293883	0.22439147577866714	0.17218543046357618	0.10483870967741936	0.48148148148148145	124.0
44	263	[SX4D4](=[!#6])(=[!#6])([!#6])[!#6] (Sulfuric_derivative)	239.0	49.0	144911.0	216.0	0.998177629543032	0.6594264656344445	0.6433378196500674	0.5252747252747253	0.8298611111111112	455.0
45	266	[SX4;$([H1]),$([H0][#6])](=[OX1])(=[OX1])[OX2][#6;!$(C=[O,N,S])] (Sulfonic_ester)	63.0	18.0	145260.0	74.0	0.9993673279922979	0.5977740249629706	0.5779816513761469	0.45985401459854014	0.7777777777777778	137.0
46	278	[SX2;$([H1]),$([H0][#6])][!#6] (Sulfenic_derivative)	442.0	118.0	144581.0	274.0	0.9973042670976172	0.6967286609372837	0.6927899686520377	0.61731843575419	0.7892857142857143	716.0
47	300	[PX4D4](=[!#6])([!#6])([!#6])[!#6] (Phosphoric_acid_derivative)	3402.0	184.0	141778.0	51.0	0.9983839356325	0.9659679087992405	0.9666145759340815	0.9852302345786272	0.9486893474623536	3453.0
