relativeIndex	absoluteIndex	description	TP	FP	TN	FN	Acc	MCC	F1	Recall	Precision	Count
49	49	[!#6][#6X3](=[!#6])[!#6] (Carbonic_acid_derivatives)	9981.0	2529.0	166178.0	5921.0	0.9542275837039365	0.683909552069487	0.7025904547374349	0.627656898503333	0.797841726618705	15902.0
50	50	[#7X2;!$([#7][!#6])]=,:[#6X3]([#16X2&!$([#16][!#6]),SX1-])[#7X3;!$([#7][!#6])] (Isothiourea)	2617.0	1018.0	179625.0	1349.0	0.9871783065831028	0.6827358067012446	0.68859360610446	0.6598587997982854	0.7199449793672628	3966.0
51	51	[N;v3X3,v4X4+][CX3](=[N;v3X2,v4X3+])[N;v3X3,v4X4+] (Guanidine)	829.0	100.0	183153.0	527.0	0.996603632542292	0.7370952595366944	0.725601750547046	0.6113569321533924	0.8923573735199138	1356.0
52	52	[NX2]=[CX2]=[SX1] (Isothiocyanate)	28.0	5.0	184504.0	72.0	0.9995829022420358	0.4872817991654402	0.4210526315789474	0.28	0.8484848484848485	100.0
53	53	[Cl][c] (Arylchloride)	19385.0	915.0	164109.0	200.0	0.9939602077905194	0.9688558884821676	0.9720446283063808	0.9897881031401584	0.9549261083743842	19585.0
54	54	[F][c] (Arylfluoride)	10906.0	506.0	172824.0	373.0	0.9952385853344096	0.958744365005366	0.9612621744303907	0.9669296923486124	0.9556607080266386	11279.0
55	55	[Br][c] (Arylbromide)	13334.0	612.0	170623.0	40.0	0.9964682111923038	0.9744776990886632	0.9761346998535873	0.997009122177359	0.9561164491610498	13374.0
56	56	[c]=[OX1] (Oxoarene)	14631.0	4040.0	158854.0	7084.0	0.939742916109182	0.6934290461800616	0.7245580151537663	0.6737738890168087	0.7836216592576724	21715.0
57	57	[c]=[SX1] (Thioarene)	701.0	400.0	182878.0	630.0	0.9944206403804798	0.5763145502984123	0.5764802631578948	0.526671675432006	0.6366939146230699	1331.0
58	58	[nX3H1+0] (Hetero_N_basic_H)	10302.0	4349.0	162702.0	7256.0	0.9371374093354062	0.6085463947109457	0.639696979105219	0.5867410866841326	0.7031601938434237	17558.0
59	59	[nX3H0+0] (Hetero_N_basic_no_H)	12606.0	5561.0	160097.0	6345.0	0.9355069362815464	0.6435837692981128	0.6792391831456436	0.6651891720753522	0.693895524852755	18951.0
60	60	[o] (Hetero_O)	12681.0	3387.0	162403.0	6138.0	0.9484044656544371	0.7013423376534507	0.7269756642875569	0.6738402678144428	0.7892083644510829	18819.0
61	61	[sX2] (Hetero_S)	7967.0	1801.0	173421.0	1420.0	0.9825523132675004	0.8228291883859438	0.831845471156356	0.8487269628209225	0.8156224406224406	9387.0
62	62	[NX2](=[OX1])[!#7;!#8] (Nitroso)	0.0	1.0	184539.0	69.0	0.9996208202200326	-4.500430181851527e-05	0.0	0.0	0.0	69.0
63	63	[SX4](=[OX1])(=[OX1])([#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])])[#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])] (Sulfuric_diamide)	17.0	6.0	184491.0	95.0	0.9994528977460472	0.3347944171360445	0.2518518518518518	0.1517857142857142	0.7391304347826086	112.0
64	64	[SX4;$([H1]),$([H0][#6])](=[OX1])(=[OX1])[$([OX2H]),$([OX1-])] (Sulfonic_acid)	1023.0	268.0	183007.0	311.0	0.9968636415342698	0.7779554735556685	0.7794285714285714	0.7668665667166417	0.7924089852827265	1334.0
65	65	[SX4;$([H1]),$([H0][#6])](=[OX1])(=[OX1])[#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])] (Sulfonamide)	4612.0	1378.0	177928.0	691.0	0.9887925290749638	0.8126319650080452	0.8167891614274329	0.8696963982651329	0.769949916527546	5303.0
66	66	[SX4;$([H1]),$([H0][#6])](=[OX1])(=[OX1])[OX2][#6;!$(C=[O,N,S])] (Sulfonic_ester)	127.0	101.0	184147.0	234.0	0.998185353910156	0.4418234483774504	0.4312393887945671	0.3518005540166205	0.5570175438596491	361.0
67	67	[SX4;$([H1]),$([H0][#6])](=[OX1])(=[OX1])[FX1,ClX1,BrX1,IX1] (Sulfonic_halide)	43.0	1.0	184493.0	72.0	0.999604569658034	0.6043706304393935	0.5408805031446541	0.3739130434782609	0.9772727272727272	115.0
